chain_id,token_address,protocol_version,reason
11155111,0x80d6d3946ed8a1da4e226aa21ccddc32bd127d1a,2,erc20 frontrun
1,0x39b8B6385416f4cA36a20319F70D28621895279D,3,double entry
1,0x3231Cb76718CDeF2155FC47b5286d82e6eDA273f,3,double entry
1,0x78a20B7AF85156B4389a349Aa4c96efC2E509768,3,double entry
1,0x7ba92741bf2a568abc6f1d3413c58c6e0244f8fd,3,double entry
1,0x05968f40939fdc016AD58F82Cd08dA884825aD55,3,double entry
1,0xbc5142e0cc5eb16b47c63b0f033d4c2480853a52,3,double entry
1,0x38D22BD604c4549e2cC15e94B8e22E6FE4aE82B4,3,double entry
1,0xc642549743a93674cf38d6431f75d6443f88e3e2,3,double entry
100,0x420CA0f9B9b604cE0fd9C18EF134C705e5Fa3430,3,double entry
100,0xcB444e90D8198415266c6a2724b7900fb12FC56E,3,double entry
100,0x8E34bfEC4f6Eb781f9743D9b4af99CD23F9b7053,3,double entry
100,0x5Cb9073902F2035222B9749F8fB0c9BFe5527108,3,double entry
100,0x50D1A74F4b6dcaCddD97fd442C0e22a4c97F2b7f,3,double entry
100,0x20E694659536C6B46e4B8BE8f6303fFCD8d1dF69,3,double entry
100,0x614Bd419D3735C9eb51542C06e5Acc09a9953f61,3,double entry
100,0xD8F84BF2E036A3c8E4c0e25ed2aAe0370F3CCca8,3,double entry
137,0xE0aEa583266584DafBB3f9C3211d5588c73fEa8d,3,double entry
137,0x18ec0A6E18E5bc3784fDd3a3634b31245ab704F6,3,double entry
137,0x646BEea7a02FdAdA34c8e118949fE32350aB2206,3,double entry
137,0x75792CBDb361d80ba89271a079EfeE62c29FA324,3,double entry
137,0x91e2B584908C2807EFc9F846E0C2A1fe875C5141,3,double entry
137,0x64E97c1a6535afD4a313eF46F88A64a34250B719,3,double entry
137,0xd053fc09e8F05A43Da4ECC40a750559C938C8131,3,double entry
137,0xf1bBf27A9D659D326efBfa5D284EBaeFB803983D,3,double entry
